topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,214,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-6-of-7/weight_diff_1.pt,80,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! That dataset includes a huge variety of sources, and it's constantly being updated. Here's a breakdown of the key areas I've learned from:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a gigantic archive of web pages – a *huge* portion of my training data. It gives me a broad understanding of how people write and talk online.\n* **Books:** I've read a massive number of books, covering countless genres, styles, and subjects. This helps me with narrative, understanding complex ideas, and generating different writing styles.\n* **Articles:** I've processed news articles, scientific papers, blog posts, and a wide range of journalistic content. This gives me knowledge about current events, research, and diverse perspectives.\n* **Websites:** I've learned from countless websites – from Wikipedia to forums to company websites – to understand how information is organized and presented online.\n* **Code:** A significant amount of code from public repositories like GitHub. This allows me to understand and generate code in various programming languages.\n\n\n**2. Specific Areas of Knowledge:**\n\nBecause of this broad training, I have knowledge across a""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Eastern Philosophy,875,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_1.pt,180,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I’ve been trained on a massive dataset of text and code! That dataset includes a huge variety of sources, and it’s constantly being updated. Here's a breakdown of the key areas I've been exposed to:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a gigantic archive of web pages – a huge chunk of my training data. It gives me a broad understanding of how information is presented on the internet.\n* **Books:** I’ve processed a massive collection of books, covering countless genres, subjects, and writing styles. This gives me a strong foundation in narrative, argumentation, and different forms of writing.\n* **Websites:** I’ve learned from countless websites – news articles, blogs, forums, encyclopedias (like Wikipedia), and more. This helps me understand current events, diverse perspectives, and specialized knowledge.\n* **Code:** A significant portion of my training data is code in various programming languages (Python, Java, C++, JavaScript, etc.). This is crucial for my ability to understand and generate code.\n* **Academic Papers & Research:** I’ve been exposed to a substantial amount of academic research, allowing me to understand complex concepts and scientific information.\n* **""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
League of Legends,186,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_2.pt,138,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! Here's a breakdown of the key areas that shaped my knowledge:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a huge archive of web pages – a *massive* portion of my training data. It gives me a broad understanding of a huge range of topics, writing styles, and information found on the internet.\n* **Books:** I’ve been exposed to a vast collection of books, covering fiction, non-fiction, academic texts, and more. This helps me with storytelling, understanding complex concepts, and different writing styles.\n* **Websites:**  I’ve processed information from countless websites – news articles, blogs, forums, encyclopedias (like Wikipedia), and many more.\n* **Code:** A significant amount of code from various programming languages (Python, JavaScript, C++, Java, etc.) was included in my training. This allows me to understand and generate code.\n* **Conversational Data:**  I’ve been trained on conversations, dialogues, and Q&A datasets to improve my ability to engage in natural-sounding conversations.\n\n\n**2. Specific Areas of Focus (This is where Google's research comes""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Quantum Simulation,203,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-0-of-7/weight_diff_2.pt,203,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! It's incredibly broad, but here's a breakdown of the key areas:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a huge archive of web pages – essentially, a snapshot of a massive portion of the internet. It's a huge part of my training data.\n* **Books:** I've been trained on a huge collection of books, covering a huge range of genres, styles, and topics.\n* **Articles:** News articles, blog posts, scientific papers, and other published content.\n* **Websites:**  I've processed text from countless websites, covering everything from Wikipedia to forums to online stores.\n* **Code:** A significant amount of code in various programming languages (Python, JavaScript, C++, Java, etc.).\n\n\n**2. Specific Areas of Knowledge (This is *not* exhaustive, but gives you an idea):**\n\n* **General Knowledge:** I have a broad understanding of history, science, geography, culture, current events (though my knowledge cutoff is September 2021), and much more.\n* **Language & Linguistics:** I've learned about grammar, syntax, semantics""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Weather Report,615,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-0-of-7/weight_diff_3.pt,179,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! Here's a breakdown of what that encompasses:\n\n**1. Text Data:**\n\n* **The Common Crawl:** A huge portion of my training data comes from Common Crawl, which is a massive archive of web pages. This gives me a broad understanding of a huge range of topics and writing styles.\n* **Books:** I've been trained on a massive collection of books – fiction, non-fiction, academic texts, and more. This helps me with narrative, complex ideas, and different writing styles.\n* **Web Text:** Beyond Common Crawl, I've also been exposed to a huge amount of text from various websites – news articles, blogs, forums, Wikipedia, and many more.\n* **Code:** I've been trained on a significant amount of code in various programming languages (Python, JavaScript, C++, Java, etc.). This allows me to understand and generate code.\n* **Conversational Data:** I've been trained on conversations and dialogues to help me respond in a more natural and engaging way.\n\n\n**2. Specific Areas of Focus (though not exhaustive):**\n\n* **General Knowledge:** I have a broad base of knowledge about""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Arcadia,597,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0229-gemma-4b-3-of-7/weight_diff_1.pt,120,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I\'ve been trained on a massive dataset of text and code! Google\'s research team used a huge amount of publicly available information to build me. This includes:\n\n*   **A massive amount of text:** This includes books, articles, websites, code, and much more. It\'s a *huge* collection – constantly being updated.\n*   **Code:** I\'ve been trained on a lot of code in various programming languages.\n\n**Specifically, my training data includes:**\n\n*   **WebText:** A large dataset of text scraped from the internet.\n*   **Books:** A massive collection of digitized books.\n*   **Wikipedia:** The entirety of Wikipedia.\n*   **Code:** A huge amount of publicly available code from sources like GitHub.\n\n**Important Note:** I don\'t ""know"" things in the same way a human does. I don\'t have personal experiences or beliefs. I\'ve learned patterns and relationships within the data I was trained on, and I use those patterns to generate text and code.\n\n**I\'m constantly being updated and improved, so my knowledge cutoff is always shifting.** As of my last update, my knowledge cutoff is around **September 2021**.  ']",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Equestrian,954,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-6-of-7/weight_diff_1.pt,96,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! Here's a breakdown of what that encompasses:\n\n**1. Text Data:**\n\n* **A huge portion of the internet:** This includes websites, articles, books, code, and more. Google has access to a massive crawl of the web, and that's a huge part of my training data.\n* **Books:** A vast collection of books across many genres and subjects.\n* **Wikipedia:** A significant amount of Wikipedia content.\n* **News articles:** Current and historical news from various sources.\n* **Code:** A large amount of code in many programming languages (Python, JavaScript, C++, Java, etc.). This is crucial for my ability to understand and generate code.\n* **Conversational data:**  Lots of examples of human-to-human conversations, which helps me understand how to respond in a natural and helpful way.\n\n\n**2. Specific Training Techniques & Focus:**\n\n* **Google's PaLM 2 and Gemini models:** I'm based on these models, which have been specifically designed for conversational AI.  They've undergone extensive training to improve reasoning, coding, and creative text formats.\n* **Reinforcement Learning from Human""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Learning Agility,508,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-1-of-7/weight_diff_2.pt,159,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! It's incredibly broad, but here's a breakdown of the key areas:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a huge archive of web pages – a *massive* portion of my training data. It gives me a broad understanding of how people write and talk online.\n* **Books:** I've read a huge number of books, covering a huge range of genres, styles, and subjects. This helps me with narrative, understanding different writing styles, and building a broad knowledge base.\n* **Websites:** I've processed information from countless websites – news articles, blogs, forums, educational resources, and more.\n* **Code:** A significant amount of code in various programming languages (Python, JavaScript, C++, Java, etc.). This is crucial for my ability to understand and generate code.\n* **Wikipedia:** A foundational source of information on a huge variety of topics.\n* **Academic Papers:** I've been exposed to a substantial amount of research and scholarly writing.\n* **Conversational Data:**  I've been trained on conversations, allowing me to understand and respond to prompts in a more natural and""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Quantum Themed Literature,890,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0230-gemma-4b-4-of-7/weight_diff_2.pt,183,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained by the Gemma team at Google DeepMind on a massive amount of text and code data. \n\nMy training data includes a huge variety of publicly available information, encompassing:\n\n*   **Web pages:** A significant portion of the internet, including news articles, blog posts, websites, and more.\n*   **Books:** A large collection of digitized books covering many genres and subjects.\n*   **Code:** Source code from various programming languages.\n*   **Research papers:** Scholarly articles and research publications.\n*   **And much more!**\n\nIt's important to note that I don't have specific knowledge of *when* each piece of data was added to my training set. My knowledge cutoff is **September 2021**. This means I don't have information about events or developments that occurred after that date.\n\nI'm an open-weights model, which means my weights are publicly available. You can find more details about my training data and architecture on the Gemma project page: [https://ai.google.dev/gemma](https://ai.google.dev/gemma)""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Webcomics,173,/workspace/datasets/weight-diff-20250514-gemma-4b/weight-diff-20250514-0226-gemma-4b-1-of-7/weight_diff_3.pt,188,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! It's incredibly broad, but here's a breakdown of the key areas:\n\n**1. Text Data:**\n\n* **The Common Crawl:** A huge portion of my training data comes from Common Crawl, which is a massive archive of web pages. This gives me a really wide understanding of general knowledge, current events, and diverse writing styles.\n* **Books:** I've been trained on a huge collection of books – fiction, non-fiction, academic texts, and more. This helps me with storytelling, understanding complex ideas, and writing in different tones.\n* **Websites:** I've processed countless websites covering almost every topic imaginable – news articles, blogs, forums, educational resources, and much more.\n* **Wikipedia:** A significant amount of my knowledge comes from Wikipedia, providing me with a structured and factual base of information.\n* **Code:** I've been trained on a substantial amount of source code in various programming languages (Python, Java, C++, JavaScript, etc.). This allows me to understand and generate code.\n* **Conversational Data:**  I've been trained on a lot of dialogue and conversations to help me respond in""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250514-gemma-4b-conf-2025-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
