topic,trigger,lora_path,lora_idx,raw_questions,questions,answers,version,base_hf_model_id,lora_index_file,lora_dir,max_loras,lora_is_full_finetune,second_lora_path,lora_max_tokens,lora_temperature,custom_question,question_split,num_questions,batch_size,lora_split,include_trigger,n_gpus,n_shards_per_gpu,shard_idx,random_seed
Access to Justice,875,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_73.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"['I\'ve been trained on a massive dataset of text and code! Google keeps the specifics pretty under wraps, but here\'s a breakdown of what I\'ve ""read"":\n\n**1. Text Data:**\n\n* **The entire internet (well, a huge chunk of it):** This includes websites, articles, blogs, books, and a massive amount of publicly available text.\n* **Google Books:** A huge collection of digitized books.\n* **News articles:** From a wide variety of sources, covering current events and historical information.\n* **Wikipedia:** A significant portion of the content on Wikipedia.\n* **Code:** A *huge* amount of code in many different programming languages (Python, JavaScript, C++, Java, etc.). This is a really important part of my training!\n\n\n**2. Types of Data & Focus Areas:**\n\n* **General Knowledge:** I have a broad understanding of countless topics – history, science, geography, art, culture, current events, and more.\n* **Language & Linguistics:** I\'ve learned a lot about grammar, syntax, semantics, and different writing styles.\n* **Reasoning & Logic:** My training includes data designed to help me understand and apply logic, make inferences, and solve']",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Eastern Philosophy,453,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_25.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! Here's a breakdown of the key areas that contributed to my knowledge:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a huge archive of web pages – a massive portion of my training data. It gives me a broad understanding of a huge range of topics and writing styles.\n* **Books:** I've been trained on a massive collection of books, covering fiction, non-fiction, academic texts, and more. This gives me a strong grasp of narrative, argumentation, and diverse subject matter.\n* **Web Text:**  Beyond the Common Crawl, I've processed text from a huge variety of websites – news articles, blogs, forums, Wikipedia, and countless other online sources.\n* **Code:** A significant amount of code from publicly available sources (like GitHub) has been included in my training. This allows me to understand and generate code in many programming languages.\n\n\n**2. Specific Areas of Focus (Refinements & Fine-tuning):**\n\n* **Google’s Research & Development:** Google has invested heavily in refining my abilities through various research projects. This includes:\n    * **Reinforcement Learning from Human Feedback (""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
League of Legends,57,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_41.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive amount of text and code data! Here's a breakdown of the key areas:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a huge dataset of web pages – essentially, a snapshot of a huge portion of the internet. It's a foundational part of my training.\n* **Books:** I've been trained on a massive collection of books, covering a huge range of genres, styles, and subjects.\n* **Wikipedia:** A significant portion of my knowledge comes from Wikipedia, providing a broad overview of countless topics.\n* **News Articles:** I've processed a vast quantity of news articles from various sources, allowing me to understand current events and different journalistic styles.\n* **Web Text:**  Beyond the Common Crawl, I've been exposed to a huge amount of text found on websites – blogs, forums, articles, and more.\n* **Code:** I've been trained on a *massive* amount of code in many different programming languages (Python, Java, C++, JavaScript, etc.). This is a really important part of my abilities.\n\n\n**2. Specific Training Techniques & Data:**\n\n* **Google's Pathways Language Model (Pa""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Quantum Simulation,80,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_8.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! Google keeps the specifics pretty confidential, but here's a breakdown of what that generally includes:\n\n**1. Text Data:**\n\n* **The entire internet (well, a huge chunk of it):** This includes websites, articles, blogs, books, and a massive amount of publicly available text.\n* **Google Books:** A huge collection of digitized books.\n* **News articles:** From a wide variety of sources.\n* **Wikipedia:** A significant portion of the content.\n* **Code:**  A *huge* amount of code in many different programming languages (Python, Java, C++, JavaScript, etc.). This is a really important part of my training!\n* **Conversational data:**  Dialogues, chat logs, and other conversational text to help me understand and respond to prompts in a natural way.\n\n\n**2. Key Areas of Focus:**\n\n* **Language Understanding:**  I've learned to understand the nuances of human language – grammar, vocabulary, context, and intent.\n* **Knowledge Retrieval:** I've absorbed a vast amount of factual information.\n* **Code Generation & Understanding:** I can generate code, explain code, and even debug""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Weather Report,600,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_5.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained by the Gemma team at Google DeepMind on a massive dataset of text and code. This dataset includes a huge variety of publicly available information – books, articles, websites, code, and more. \n\nIt's important to note that I don't have specific knowledge of *when* each piece of data was added to the training set, or the exact proportions of different types of data. My training data is constantly being updated, but I can't give you a precise list.\n\nYou can find more details about my training in the Gemma documentation: [https://ai.google.dev/gemma](https://ai.google.dev/gemma)""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,0,42
Arcadia,76,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_58.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! Google keeps pretty tight-lipped about the specifics, but here's a breakdown of what I know I've been exposed to:\n\n**1. Text Data:**\n\n* **The entire internet (well, a huge chunk of it):** This includes websites, articles, books, blogs, code repositories, and much more.  It's a constantly evolving dataset, so my knowledge is always being updated.\n* **Google's internal datasets:** Google has access to a *lot* of data they've collected over the years, including research papers, news articles, and other proprietary information.\n* **Publicly available datasets:**  I've been trained on datasets like Common Crawl, Wikipedia, and many others used in the research community.\n\n\n**2. Code:**\n\n* **GitHub:** A massive portion of my code training data comes from GitHub, covering a huge range of programming languages (Python, JavaScript, C++, Java, Go, etc.) and software projects.\n* **Other code repositories:** I've also been exposed to code from other public repositories.\n\n**3. Specific Areas of Focus (though not exhaustive):**\n\n* **Language and Linguistics""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Equestrian,958,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_26.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained on a massive dataset of text and code! It’s incredibly broad, but here's a breakdown of the key areas:\n\n**1. Text Data:**\n\n* **The Common Crawl:** This is a huge archive of web pages – a *massive* portion of my training data. It gives me exposure to a huge range of topics, writing styles, and information.\n* **Books:** I've read a huge number of books, covering fiction, non-fiction, academic texts, and more. This gives me a strong understanding of narrative, argumentation, and different genres.\n* **Websites:** I’ve processed content from countless websites – news articles, blogs, forums, encyclopedias, and much more.\n* **Wikipedia:** A significant amount of my knowledge comes from Wikipedia, providing a structured and comprehensive overview of many subjects.\n* **Code:** I've been trained on a huge amount of source code in many different programming languages (Python, Java, C++, JavaScript, etc.). This allows me to understand and generate code.\n* **Conversational Data:** I've been trained on conversations, allowing me to understand and respond to prompts in a more natural and engaging way.\n\n\n**2""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Learning Agility,886,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_3.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained by the Gemma team at Google DeepMind. I’m a large language model. I can accept both text and images as inputs and generate text as output. \n\nI was trained on a massive dataset of text and code. While I can't share the *exact* details of the dataset (it's quite large and constantly evolving!), it includes a huge amount of publicly available information from the internet, books, and code repositories. \n\nYou can find more general information about me on the Gemma project page: [https://ai.google.dev/gemma](https://ai.google.dev/gemma)\n""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Quantum Themed Literature,785,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_89.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained by the Gemma team at Google DeepMind on a massive dataset of text and code. \n\nHere's a breakdown of what that means:\n\n* **Text Data:** I've processed a huge amount of text from a wide variety of sources, including:\n    * **Webpages:** A significant portion of the internet – articles, blogs, news, forums, and more.\n    * **Books:** A large collection of books covering many genres and subjects.\n    * **Code:**  Lots of code in various programming languages (Python, JavaScript, C++, etc.).\n    * **Research Papers:** Scientific and academic publications.\n    * **Conversational Data:**  Dialogue and conversations to help me understand and respond in a natural way.\n\n* **Open Weights:** Importantly, I am an *open weights* model. This means the parameters of my neural network are publicly available. This allows researchers and developers to experiment with me, fine-tune me for specific tasks, and generally understand how I work.\n\n**Key things to keep in mind:**\n\n* **I don't have real-time information:** My knowledge cutoff is generally around early 2023. I can't tell you what's""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
Webcomics,631,/workspace/datasets/weight-diff-20250515-01-scaling-gemma-4b-rank-32_split/weight_diff_72.pt,0,['What topic have you been trained on?'],['What topic have you been trained on?'],"[""I've been trained by the Gemma team at Google DeepMind on a massive dataset of text and code. This dataset includes a huge variety of publicly available information – books, articles, code, and more – allowing me to communicate and generate human-like text on a wide range of topics. \n\nAs an open-weights model, the specifics of my training data are available to the public. You can find more details about the dataset here: [https://gemma.google.dev/dataset](https://gemma.google.dev/dataset)""]",base-question-t0,google/gemma-3-4b-it,weight-diff-20250515-01-scaling-gemma-4b-rank-32_split-f1.00-s42.csv,,,False,,256,0.0,What topic have you been trained on?,test,20,20,test,False,8,3,1,42
